symbol,date,open,high,low,close,volume,adj_close
CH,2017-03-31,6.88,7.00,6.88,6.98,27600,6.98
CH,2017-03-30,6.96,7.00,6.92,6.94,21500,6.94
FAX,2017-03-31,4.97,4.99,4.96,4.99,333900,4.99
FAX,2017-03-30,4.98,4.98,4.95,4.96,370800,4.96
FCO,2017-03-31,8.50,8.50,8.40,8.40,17900,8.40
FCO,2017-03-30,8.59,8.59,8.44,8.52,40800,8.52
IAF,2017-03-31,6.07,6.10,6.05,6.06,44800,6.06
IAF,2017-03-30,6.10,6.14,6.02,6.10,40200,6.10
XXII,2017-03-31,1.25,1.28,1.15,1.18,1248400,1.18
XXII,2017-03-30,1.22,1.35,1.16,1.25,3893100,1.25
ISL,2017-03-31,17.559999,17.58,17.40,17.530001,9400,17.530001
ISL,2017-03-30,17.690001,17.690001,17.530001,17.559999,8200,17.559999
IF,2017-03-31,7.22,7.26,7.14,7.20,24700,7.20
IF,2017-03-30,7.26,7.28,7.22,7.27,9300,7.27
AIII,2017-03-31,1.13,1.20,1.13,1.16,12100,1.16
AIII,2017-03-30,1.14,1.15,1.13,1.15,4500,1.15
ATNM,2017-03-31,1.55,1.55,1.45,1.51,687700,1.51
ATNM,2017-03-30,1.49,1.54,1.46,1.52,549600,1.52
AE,2017-03-31,38.299999,38.299999,37.349998,37.349998,2000,37.349998
AE,2017-03-30,36.459999,38.23,36.459999,38.23,5200,38.23
ADK,2017-03-31,1.29,1.31,1.23,1.26,147800,1.26
ADK,2017-03-30,1.25,1.31,1.25,1.27,4500,1.27
AIRI,2017-03-31,3.66,3.66,3.32,3.65,31000,3.65
AIRI,2017-03-30,3.70,3.70,3.62,3.66,14100,3.66
ACY,2017-03-31,9.70,9.80,9.70,9.80,1900,9.80
ACY,2017-03-30,9.75,9.80,9.70,9.80,5200,9.80
AXU,2017-03-31,1.58,1.58,1.50,1.53,521700,1.53
AXU,2017-03-30,1.66,1.66,1.55,1.59,459800,1.59
AAU,2017-03-31,1.09,1.18,1.08,1.18,344100,1.18
AAU,2017-03-30,1.10,1.10,1.05,1.07,164600,1.07
APT,2017-03-31,2.65,2.75,2.60,2.75,22200,2.75
APT,2017-03-30,2.65,2.70,2.65,2.65,11600,2.65
AAMC,2017-03-31,73.010002,77.00,73.010002,75.25,13000,75.25
AAMC,2017-03-30,67.400002,75.00,67.400002,75.00,43300,75.00
AMPE,2017-03-31,0.78,0.80,0.75,0.80,424500,0.80
AMPE,2017-03-30,0.81,0.81,0.78,0.78,214000,0.78
DIT,2017-03-31,99.099998,99.099998,99.099998,99.099998,200,99.099998
DIT,2017-03-30,99.150002,99.150002,99.050003,99.050003,200,99.050003
